"";"X";"CODUSU";"ANO4";"TRIMESTRE";"AGLOMERADO1";"PONDERA";"ITF";"IPCF";"AGLOMERADO";"Cantidad";"cant"
"1";1;355670;2013;4;32;1457;7000;3500;"CABA";2;2
"2";2;355741;2013;4;32;1012;11600;3866,666748;"CABA";2,99999993689655;2,99999993689655
"3";3;355816;2013;4;32;1346;2500;2500;"CABA";1;1
"4";4;355952;2013;4;32;1315;4250;4250;"CABA";1;1
"5";5;356626;2013;4;32;1198;7000;7000;"CABA";1;1
"6";6;357166;2013;4;32;2622;8000;2000;"CABA";4;4
"7";7;357739;2013;4;32;4572;7000;7000;"CABA";1;1
"8";8;357795;2013;4;32;1459;12000;6000;"CABA";2;2
"9";9;358113;2013;4;32;1412;7900;7900;"CABA";1;1
"10";10;358309;2013;4;32;983;14400;3600;"CABA";4;4
"11";11;358555;2013;4;32;1985;9500;3166,666748;"CABA";2,99999992294737;2,99999992294737
"12";12;358746;2013;4;32;1707;8400;4200;"CABA";2;2
"13";13;358973;2013;4;32;1807;9000;9000;"CABA";1;1
"14";14;359068;2013;4;32;1692;19000;9500;"CABA";2;2
"15";15;359359;2013;4;32;1028;5100;5100;"CABA";1;1
"16";16;360033;2013;4;32;1390;12000;4000;"CABA";3;3
"17";17;360053;2013;4;32;2246;7800;1950;"CABA";4;4
"18";18;360309;2013;4;32;1139;10500;2625;"CABA";4;4
"19";19;361089;2013;4;32;896;5600;5600;"CABA";1;1
"20";20;361452;2013;4;32;1209;18000;9000;"CABA";2;2
"21";21;362597;2013;4;32;1868;11500;5750;"CABA";2;2
"22";22;363337;2013;4;32;1116;8000;2000;"CABA";4;4
"23";23;363790;2013;4;32;1448;5000;5000;"CABA";1;1
"24";24;363921;2013;4;32;1333;6000;6000;"CABA";1;1
"25";25;364517;2013;4;32;1124;5000;2500;"CABA";2;2
"26";26;364704;2013;4;32;1933;11600;5800;"CABA";2;2
"27";27;365063;2013;4;32;2614;10600;2120;"CABA";5;5
"28";28;365771;2013;4;32;2407;10000;2000;"CABA";5;5
"29";29;366227;2013;4;32;1297;7600;3800;"CABA";2;2
"30";30;366303;2013;4;32;1206;4800;4800;"CABA";1;1
"31";31;366409;2013;4;32;1811;9000;4500;"CABA";2;2
"32";32;367209;2013;4;32;1144;7000;3500;"CABA";2;2
"33";33;367398;2013;4;32;2239;4500;4500;"CABA";1;1
"34";34;371872;2013;4;32;1972;8100;2700;"CABA";3;3
"35";35;380102;2013;4;32;1108;21000;4200;"CABA";5;5
"36";36;380398;2013;4;32;1920;7500;7500;"CABA";1;1
"37";37;380780;2013;4;32;1069;6780;1356;"CABA";5;5
"38";38;381069;2013;4;32;1600;5000;1250;"CABA";4;4
"39";39;381164;2013;4;32;118;10700;1337,5;"CABA";8;8
"40";40;381549;2013;4;32;1553;3000;3000;"CABA";1;1
"41";41;381658;2013;4;32;3426;18500;9250;"CABA";2;2
"42";42;382020;2013;4;32;929;8500;8500;"CABA";1;1
"43";43;382231;2013;4;32;1508;10000;2500;"CABA";4;4
